,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,False,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-03-25 22:58:27.000000,2021-03-25 15:06:37.000000,3990.0,1421.0,5173.0,14724.0,24910.0,2021-01-30 02:36:56.000000,7.18.1,317069.0,10045239.0,48.0,185705.0,185705.0,799.0,https://pypi.org/project/ipython,9942459.0,https://anaconda.org/conda-forge/ipython,2021-02-27 03:03:10.289000,5858519.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,False,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-03-25 07:30:25.000000,2021-03-25 07:30:25.000000,3249.0,1976.0,2211.0,8935.0,12035.0,2021-03-22 10:26:26.000000,6.3.0,250.0,8355920.0,20.0,96622.0,96622.0,547.0,https://pypi.org/project/notebook,8093418.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1306736.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-03-21 16:44:14.984830,809.0,16781906.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,False,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-03-25 20:11:47.000000,2021-03-25 14:55:51.000000,1856.0,1719.0,3850.0,10922.0,23049.0,2021-02-22 22:25:38.000000,3.0.9,,510416.0,205.0,36682.0,36682.0,396.0,https://pypi.org/project/jupyterlab,448518.0,https://anaconda.org/conda-forge/jupyterlab,2021-03-19 23:22:50.529000,3528193.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-03-25 22:01:17.000000,2021-03-25 19:27:32.000000,711.0,502.0,1109.0,2176.0,6948.0,2021-02-07 22:09:48.000000,7.6.3,,8011316.0,29.0,1363.0,1363.0,173.0,https://pypi.org/project/ipywidgets,7787830.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2921441.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,173971.0,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,32,False,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-03-22 18:05:18.000000,2021-02-28 20:46:41.000000,411.0,340.0,516.0,1087.0,3687.0,2019-05-11 04:19:05.000000,5.5.0,,8496712.0,19.0,95252.0,95252.0,212.0,https://pypi.org/project/nbconvert,8435740.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3597356.0,1.0,,,,,,,,,,,,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-03-26 03:49:30.000000,2021-03-24 23:37:49.000000,3600.0,634.0,5829.0,14891.0,,,,,642375.0,38.0,31529.0,31529.0,552.0,https://pypi.org/project/bokeh,556116.0,https://anaconda.org/conda-forge/bokeh,2021-03-01 11:07:11.701000,4054179.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
7,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-03-25 23:07:17.000000,2021-03-25 23:06:16.000000,274.0,55.0,363.0,4386.0,2159.0,2021-03-25 23:07:17.000000,1.11.1,,61446.0,100.0,1332.0,1332.0,58.0,https://pypi.org/project/jupytext,41095.0,https://anaconda.org/conda-forge/jupytext,2021-03-18 07:28:52.676000,158465.0,1.0,,,,,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,14692.0,1.0,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,False,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-03-25 16:03:35.000000,2021-03-25 16:03:34.000000,247.0,157.0,134.0,389.0,2131.0,,,,7937257.0,27.0,105408.0,105408.0,126.0,https://pypi.org/project/ipykernel,7935116.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,137043.0,1.0,,,,,,,,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,30,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-03-17 01:59:30.155000,2021-03-16 16:49:52.000000,148.0,87.0,184.0,253.0,1752.0,,,,6735687.0,26.0,72470.0,72470.0,107.0,https://pypi.org/project/qtconsole,6705760.0,https://anaconda.org/conda-forge/qtconsole,2021-03-17 01:59:30.155000,1735767.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
