,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,new_addition,trending,go_id,cran_id,pypi,gem_id,hex_id,updated_github_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,False,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-04-15 08:48:29.000000,2021-04-14 23:48:37.000000,3995.0,1422.0,5195.0,14762.0,24961.0,2021-01-30 02:36:56.000000,7.18.1,317181.0,15577152.0,49.0,189740.0,189740.0,801.0,https://pypi.org/project/ipython,15472479.0,https://anaconda.org/conda-forge/ipython,2021-03-27 10:14:48.494000,6073600.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,False,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-04-08 21:55:59.000000,2021-04-01 16:28:51.000000,3268.0,1979.0,2219.0,8988.0,12040.0,2021-03-22 10:26:26.000000,6.3.0,251.0,11462476.0,20.0,99282.0,99282.0,549.0,https://pypi.org/project/notebook,11193961.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1337163.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-04-08 11:56:35.271904,817.0,17445112.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,False,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-04-15 08:25:41.000000,2021-04-15 08:25:41.000000,1883.0,1728.0,3878.0,10986.0,23137.0,2021-04-12 13:51:33.000000,3.0.14,,1071626.0,208.0,38117.0,38117.0,405.0,https://pypi.org/project/jupyterlab,1008821.0,https://anaconda.org/conda-forge/jupyterlab,2021-04-12 15:33:38.504000,3642732.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-04-01 07:51:03.000000,2021-04-01 07:51:01.000000,715.0,503.0,1114.0,2200.0,6971.0,2021-02-07 22:09:48.000000,7.6.3,,10617997.0,29.0,1465.0,1465.0,173.0,https://pypi.org/project/ipywidgets,10412465.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3007166.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,155413.0,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,False,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-04-15 07:37:00.000000,2021-04-03 13:23:11.000000,414.0,349.0,516.0,1098.0,3688.0,2019-05-11 04:19:05.000000,5.5.0,,11717907.0,19.0,97837.0,97837.0,212.0,https://pypi.org/project/nbconvert,11655974.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3715980.0,1.0,,,,,,,,,,,,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-04-14 14:35:35.000000,2021-04-13 18:44:27.000000,3622.0,649.0,5852.0,14981.0,,,,,1538833.0,39.0,32420.0,32420.0,557.0,https://pypi.org/project/bokeh,1451428.0,https://anaconda.org/conda-forge/bokeh,2021-04-08 12:17:48.640000,4195456.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
7,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-04-13 08:15:08.000000,2021-03-25 23:06:16.000000,281.0,58.0,364.0,4430.0,2159.0,2021-03-25 23:07:17.000000,1.11.1,,111814.0,100.0,1389.0,1389.0,58.0,https://pypi.org/project/jupytext,93071.0,https://anaconda.org/conda-forge/jupytext,2021-03-26 06:28:34.845000,169131.0,1.0,,,,,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,12911.0,,,,,,,,,
8,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-04-15 14:15:07.000000,2021-04-14 13:58:10.000000,404.0,193.0,331.0,3057.0,3309.0,2021-04-08 11:35:03.000000,0.12.25,,65066.0,48.0,1347.0,1347.0,51.0,https://pypi.org/project/bqplot,38797.0,https://anaconda.org/conda-forge/bqplot,2021-04-08 11:51:20.294000,574262.0,1.0,,,,,,bqplot,Apache-2.0,https://www.npmjs.com/package/bqplot,16536.0,,,,,,,,,
9,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,False,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-04-14 20:37:53.000000,2021-04-14 20:37:32.000000,249.0,156.0,139.0,389.0,2162.0,,,,10890704.0,27.0,108380.0,108380.0,126.0,https://pypi.org/project/ipykernel,10888442.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,147034.0,1.0,,,,,,,,,,,,,,,,,,
