,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,new_addition,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,37,False,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-04-22 03:02:22.000000,2021-04-20 00:04:55.000000,3998.0,1418.0,5205.0,14773.0,25025.0,2021-01-30 02:36:56.000000,7.18.1,317205.0,15903128.0,49.0,191318.0,191318.0,807.0,https://pypi.org/project/ipython,15797069.0,https://anaconda.org/conda-forge/ipython,2021-03-27 10:14:48.494000,6156768.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,37,False,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-04-22 12:57:13.000000,2021-04-21 15:46:05.000000,3272.0,1980.0,2220.0,9011.0,12044.0,2021-03-22 10:26:26.000000,6.3.0,251.0,10792785.0,20.0,100259.0,100259.0,550.0,https://pypi.org/project/notebook,10521173.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1346489.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-04-18 06:41:09.434154,821.0,17654940.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,35,False,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-04-22 13:52:33.000000,2021-04-22 11:33:46.000000,1890.0,1737.0,3887.0,11010.0,23161.0,2021-04-12 13:51:33.000000,3.0.14,,1054907.0,208.0,38612.0,38612.0,407.0,https://pypi.org/project/jupyterlab,991274.0,https://anaconda.org/conda-forge/jupyterlab,2021-04-12 15:33:38.504000,3690724.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-04-01 07:51:03.000000,2021-04-01 07:51:01.000000,715.0,506.0,1114.0,2203.0,6971.0,2021-02-07 22:09:48.000000,7.6.3,,9948962.0,29.0,1496.0,1496.0,173.0,https://pypi.org/project/ipywidgets,9746025.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3036227.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,152334.0,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,False,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-04-17 06:24:20.000000,2021-04-17 06:24:20.000000,416.0,349.0,516.0,1105.0,3689.0,2019-05-11 04:19:05.000000,5.5.0,,11081281.0,19.0,98795.0,98795.0,213.0,https://pypi.org/project/nbconvert,11018649.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3757971.0,1.0,,,,,,,,,,,,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,31,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-04-22 05:45:49.000000,2021-04-20 05:35:04.000000,3628.0,652.0,5859.0,14999.0,,,,,1538806.0,39.0,32781.0,32781.0,557.0,https://pypi.org/project/bokeh,1450225.0,https://anaconda.org/conda-forge/bokeh,2021-04-08 12:17:48.640000,4251901.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-04-20 03:40:19.000000,2021-04-20 03:40:19.000000,149.0,89.0,185.0,257.0,1756.0,,,,6828783.0,26.0,74590.0,74590.0,108.0,https://pypi.org/project/qtconsole,6798578.0,https://anaconda.org/conda-forge/qtconsole,2021-03-17 01:59:30.155000,1782137.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
8,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-04-13 08:15:08.000000,2021-03-25 23:06:16.000000,282.0,60.0,365.0,4450.0,2159.0,2021-03-25 23:07:17.000000,1.11.1,,105699.0,100.0,1416.0,1416.0,58.0,https://pypi.org/project/jupytext,86640.0,https://anaconda.org/conda-forge/jupytext,2021-03-26 06:28:34.845000,172173.0,1.0,,,,,,jupyterlab-jupytext,MIT,https://www.npmjs.com/package/jupyterlab-jupytext,13122.0,,,,,,,,,
9,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-04-21 15:30:27.000000,2021-04-21 13:59:49.000000,404.0,192.0,333.0,3059.0,3329.0,2021-04-08 11:35:03.000000,0.12.25,,64114.0,49.0,1371.0,1371.0,51.0,https://pypi.org/project/bqplot,38137.0,https://anaconda.org/conda-forge/bqplot,2021-04-21 14:28:06.059000,583031.0,1.0,,,,,,bqplot,Apache-2.0,https://www.npmjs.com/package/bqplot,16096.0,,,,,,,,,
